Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83.7,1,2,,,,1,FALSE,FALSE,3|4,1,62,3,0,2,8|2|5|6,,0,1,21,3,2,TRUE,1,0,TRUE,FALSE,5,,FALSE,1,4,FALSE,FALSE,FALSE,,
,84.2,2,4,,,,1,FALSE,FALSE,2,2,65,3,0,2,9|2,,0,2,17,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,36,19/11/2019
,60.3,1,4,,,,1,FALSE,FALSE,2,2,83,3,0,2,8|2,,0,,9,11,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,51.5,1,2,,,,1,FALSE,FALSE,0,1,12,3,0,2,8,,0,1,21,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,47,25/11/2019
,63.5,1,4,,,,1,FALSE,FALSE,2|3|4,2,71,3,0,2,8|2|4|5|6,,0,,9,11,1,FALSE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,33,12/11/2019
,84.8,1,5,,,,2,FALSE,FALSE,2|6,3,169,3,0,2,0,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,50,FALSE,FALSE,FALSE,,
,67.2,2,3,,,,0,FALSE,FALSE,2|3,2,66,3,0,2,8|2|3,,0,,11,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,17,FALSE,FALSE,FALSE,,
,75.2,2,3,,,,1,FALSE,FALSE,2,1,61,3,0,2,8|2|5|6,,0,1,10,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,67.6,1,4,,,,0,FALSE,FALSE,1|3|4,1,81,3,0,2,9|2,,0,,66,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,48,26/11/2019
,81.5,1,2,,,,1,FALSE,FALSE,2|4,3,78,3,1,2,2|3|4,,0,2,14,3,2,TRUE,4,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,34,12/11/2019
,62.1,2,4,,,,1,FALSE,FALSE,0,2,68,2,0,2,9|2,,0,1,12,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,45,22/11/2019
,69.4,1,4,,,,1,FALSE,FALSE,2,2,78,3,0,2,8|5|6,,0,1,3,7|11,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,38,11/11/2019
,65.2,1,4,,,,3,FALSE,FALSE,2|3|4,2,106,3,0,2,9|2|5|6,,0,1,13,3,2,TRUE,2,1,FALSE,FALSE,17,,FALSE,1,1,FALSE,FALSE,FALSE,56,28/11/2019
,77.3,1,3,,,,1,FALSE,FALSE,1|2,2,101,2,1,2,2|4|7,,0,2,2,7|3,2,TRUE,4,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,31,03/11/2019
,76.5,2,2,,,,1,FALSE,FALSE,2,2,68,4,0,2,9|2|5|6,,0,3,10,7|3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,67.3,1,4,,,,1,FALSE,FALSE,2|3,1,89,3,0,2,9|2|5|6,,0,1,10,3|11,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,72.5,2,4,,,,1,FALSE,FALSE,2|4,2,90,4,0,2,9|2|3|5|6,,0,2,12,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,120,30/01/2020
,70.5,2,4,,,,3,FALSE,FALSE,3,2,66,3,0,2,8|2,,1,,125,3,2,TRUE,4,3,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,51,22/11/2019
,79.8,1,2,,,,3,FALSE,FALSE,1|2|9,2,111,3,0,2,8|2|3|4,,0,2,9,3,1,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,50,20/11/2019
,67,1,2,,,,3,FALSE,FALSE,2,1,89,3,1,2,2|3|5|6|7,,0,2,38,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,49,19/11/2019
,82.5,2,2,,,,2,FALSE,FALSE,2,3,100,3,1,2,3|5|6,,0,,13,3,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,TRUE,FALSE,FALSE,7,08/10/2019
,44.1,1,4,,,,,FALSE,FALSE,1|2,2,60,2,0,2,2|4,,0,,57,7,2,FALSE,1,0,FALSE,FALSE,0,,,1,1,FALSE,FALSE,FALSE,,
,62.1,1,4,,,,1,FALSE,FALSE,2|4|8,3,90,3,0,2,9|2|4,,0,1,6,3|11,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,67,04/12/2019
,72.3,2,4,,,,0,FALSE,FALSE,1|3|8,2,107,3,0,2,8|2,,0,2,14,3,2,TRUE,2,3,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,101,08/01/2020
,86.2,1,2,,,,1,FALSE,FALSE,2|4,2,85,3,0,2,8|2|3|4|6,,0,1,14,7|11,2,FALSE,1,0,TRUE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,81,19/12/2019
,73.7,1,2,,,,0,FALSE,FALSE,2|4,1,110,3,0,2,8|2,,0,2,15,7|11,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,70.3,1,4,,,,1,FALSE,FALSE,1|4|6,2,119,3,0,2,9|2|3|5|6,,0,2,10,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,118,23/01/2020
,83.1,1,1,,,,1,FALSE,FALSE,1|2|6,3,147,3,0,2,8|2|5,,0,2,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,75,12/12/2019
,62,1,2,,,,1,FALSE,FALSE,2|4,1,76,2,1,2,9|2|3|5|6,,0,2,8,7|3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,47,11/11/2019
,53.3,1,4,,,,1,FALSE,FALSE,2,1,82,3,0,2,0,,0,1,4,7,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,,
,50.8,1,4,,,,2,FALSE,FALSE,2,1,57,3,0,2,9|2|5|6,,0,1,12,3,2,TRUE,1,0,FALSE,FALSE,0,,TRUE,1,22,FALSE,FALSE,FALSE,63,05/12/2019
,79.4,2,2,,,,5,FALSE,FALSE,1|2|4,3,97,3,0,2,9|2|3|4,,0,2,8,11,2,TRUE,4,2,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,,
,69.5,1,4,,,,1,FALSE,FALSE,0,1,70,2,1,2,9|5,,0,2,6,3,2,TRUE,4,4,FALSE,FALSE,1,,FALSE,1,13,FALSE,FALSE,FALSE,47,13/11/2019
,82.5,1,2,,,,1,FALSE,FALSE,2,3,100,3,0,2,9|2,,0,1,13,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,152,19/02/2020
,66.8,1,4,,,,2,FALSE,FALSE,1|2|4,1,74,3,0,2,8|2|5|6,,0,2,21,11,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,75.9,1,2,,,,1,FALSE,FALSE,1|2,1,70,4,0,2,9|2|4,,0,,16,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,52,11/11/2019
,71.2,1,4,,,,1,FALSE,FALSE,1|2|4,3,99,3,0,2,9|2|5|6,,0,2,10,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,,
,65.8,1,4,,,,1,FALSE,FALSE,2,3,68,2,0,2,8|2|4|5|6,,0,1,14,11|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,118,14/01/2020
,61.3,1,4,,,,5,FALSE,FALSE,2|4,2,86,3,0,2,9|2|3|6,,0,2,3,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,76,04/12/2019
,66.3,2,4,,,,1,FALSE,FALSE,1|2,2,54,3,0,2,9|2|5|6,,0,1,5,3,2,TRUE,1,2,FALSE,TRUE,17,,FALSE,1,13,FALSE,FALSE,FALSE,55,18/11/2019
,80.8,1,4,,,,1,FALSE,FALSE,2,3,98,3,1,2,8|2|5|6|7,,0,2,11,3,1,FALSE,1,0,FALSE,FALSE,3,,FALSE,1,4,FALSE,FALSE,FALSE,0,19/09/2019
,84,1,4,,,,1,FALSE,FALSE,2,2,52,3,0,2,9,,0,,14,12,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,40,29/10/2019
,56.9,1,4,,,,1,FALSE,FALSE,1|2,2,35,3,0,2,8|2|3,,0,2,4,3,1,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,52,06/11/2019
,70.1,1,4,,,,2,FALSE,FALSE,2,2,77,2,0,2,8|2|4,,1,1,6,7|11,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,FALSE,,
,47.1,1,4,,,,1,FALSE,FALSE,1|2,1,86,3,0,2,8|2|4|5,,0,1,8,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,42,25/10/2019
,85.5,1,2,,,,1,FALSE,FALSE,1|2,3,96,4,1,2,8|2|3|5|6,,0,2,22,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,28,11/10/2019
,85.5,1,2,,,,1,FALSE,FALSE,2|3|8,2,96,3,0,2,9|2|5|6,,0,3,9,3,2,TRUE,2,0,TRUE,FALSE,5|17,,FALSE,1,16,FALSE,FALSE,FALSE,61,27/11/2019
,74.8,1,4,,,,1,FALSE,FALSE,2,2,62,3,1,2,9|2|5|6|7,,1,2,21,7|11,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,257,27/05/2020
,65.8,2,4,,,,1,FALSE,FALSE,1|2|3|4|6,1,280,3,0,2,8|2|3|5|6,,0,2,3,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,56.5,1,4,,,,1,FALSE,FALSE,3,1,83,3,0,2,8|2|5|6,,0,1,7,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,53,05/11/2019
,61.4,1,4,,,,1,FALSE,FALSE,2,1,,3,0,2,8|2|4,,0,,239,3,2,TRUE,1,0,FALSE,FALSE,0,,,1,2,FALSE,FALSE,FALSE,,
,72.7,2,4,,,,1,FALSE,FALSE,1|2|3,2,89,3,0,2,9|2|5|6,,0,2,7,7|3,2,TRUE,2,1,FALSE,FALSE,17,,FALSE,1,3,FALSE,FALSE,FALSE,61,13/11/2019
,85.5,1,4,,,,2,FALSE,FALSE,2,2,158,3,1,2,8|5|6|7,,0,1,8,3|11,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,52,01/11/2019
,53.3,2,4,,,,1,FALSE,FALSE,1,1,75,3,0,2,8|2|5|6,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,98,17/12/2019
,74.3,1,3,,,,3,FALSE,FALSE,2,2,92,3,0,2,8|2,,0,,103,11,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,57,06/11/2019
,71.6,1,1,,,,1,FALSE,FALSE,1|2|6,2,116,2,1,2,4,,0,1,,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,76,28/11/2019
,86.6,2,4,,,,2,FALSE,FALSE,2|6,3,102,3,0,2,8|2|5|6,,0,2,13,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,51,31/10/2019
,70.7,1,4,,,,4,FALSE,FALSE,1|2|6,2,152,3,0,2,8|2|3|4|5|6,,0,,109,3|11,2,TRUE,1,0,FALSE,FALSE,17,,FALSE,1,4,FALSE,FALSE,FALSE,,
,75.8,2,2,,,,1,FALSE,FALSE,2,3,57,3,0,2,9|2|3|4|6,,0,,6,7,2,FALSE,2,,TRUE,FALSE,17,,FALSE,1,7,FALSE,FALSE,FALSE,,
,76.1,1,4,,,,3,FALSE,FALSE,2,2,99,3,0,2,9,,0,1,10,11,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,63.4,2,4,,,,1,FALSE,FALSE,2|9,1,52,3,0,2,8|2|4|5|6,,0,1,14,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,76,21/11/2019
,89.9,1,2,,,,2,FALSE,FALSE,2|5|6,2,120,3,1,2,9|2|3,,0,2,9,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,5,12/09/2019
,75.6,1,3,,,,2,FALSE,FALSE,1|2|3|4|6,3,70,4,0,2,8|2|3,,0,1,14,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,58,04/11/2019
,73.5,1,4,,,,1,FALSE,FALSE,1|2,2,59,3,0,2,8|2|3,,1,3,6,7|3,2,TRUE,2,1,FALSE,FALSE,15,,FALSE,1,63,FALSE,FALSE,FALSE,27,27/11/2019
,81.2,1,2,,,,3,FALSE,FALSE,1|2|4,2,84,2,0,2,9|2|6,,0,2,7,3,1,TRUE,1,0,FALSE,FALSE,17,,FALSE,1,2,TRUE,FALSE,FALSE,,
,79.8,1,4,,,,1,FALSE,FALSE,3,2,111,3,0,2,8|2|5|6,,0,,19,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,95,09/12/2019
,87.1,1,4,,,,5,FALSE,FALSE,2|3|4,2,72,3,0,2,8|2|5|6,,0,3,17,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,24,FALSE,FALSE,FALSE,81,02/12/2019
,57.7,1,4,,,,5,FALSE,FALSE,2,2,65,2,0,2,8|2|4,,0,,16,3,2,TRUE,1,0,FALSE,FALSE,0,,,1,4,FALSE,FALSE,FALSE,,
,73.5,2,2,,,,3,FALSE,FALSE,4,1,57,3,1,2,8|2|3|5|6,,0,2,9,12,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,27,01/10/2019
,58.8,1,4,,,,1,FALSE,FALSE,2|4,1,67,2,0,2,8|2|5|6,,1,2,13,3|12,3,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,56,31/10/2019
,75.9,1,4,,,,3,FALSE,FALSE,3,2,65,3,0,2,5,,1,,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,FALSE,61,04/11/2019
,73.3,1,2,,,,1,FALSE,FALSE,2,2,82,3,0,2,8|3|5|6,,0,,5,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,71,14/11/2019
,57,1,4,,,,5,FALSE,FALSE,0,1,91,3,0,2,0,,0,,8,3,2,TRUE,2,,FALSE,FALSE,17,,FALSE,1,10,TRUE,FALSE,FALSE,,
,71.4,1,2,,,,2,FALSE,FALSE,2|4,2,83,3,0,2,9|2|5|6,,0,1,23,3,2,TRUE,4,,FALSE,FALSE,2|13,,FALSE,1,5,FALSE,FALSE,FALSE,,
,77,1,4,,,,1,FALSE,FALSE,2,2,77,3,0,2,8|2|4,,0,,9,3|11,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,11,FALSE,FALSE,FALSE,,
,60.5,1,4,,,,2,FALSE,FALSE,2,2,90,3,0,2,8|2|4,,1,2,38,3|11,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,42,11/10/2019
,69.3,1,4,,,,1,TRUE,FALSE,1|2,2,77,3,0,2,8|2,,0,1,20,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,17,16/09/2019
,76.7,1,4,,,,1,FALSE,FALSE,2|4,2,74,3,1,2,8|2|3|4|5|6|7,,0,2,2,3,2,TRUE,2,1,FALSE,FALSE,17,,FALSE,1,2,FALSE,FALSE,FALSE,64,01/11/2019
,54.9,2,4,,,,1,FALSE,FALSE,0,1,66,3,0,2,8|2|5|6,,0,1,12,7|3|11,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,41,10/10/2019
,72.9,2,4,,,,1,FALSE,FALSE,1|2|3|8,2,66,3,0,2,2,,0,,4,3,2,FALSE,2,1,FALSE,FALSE,3,,,1,4,TRUE,TRUE,FALSE,,
,71.7,2,2,,,,3,FALSE,FALSE,2|8,2,76,2,0,2,8|2,,0,2,9,3|11,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,100,09/12/2019
,48.5,2,4,,,,1,FALSE,FALSE,1|2|9,1,41,3,0,2,9|2|4,,0,2,7,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,,
,77.3,1,2,,,,1,FALSE,FALSE,1|2|4|6,1,107,3,0,2,9|2|3|4,,0,2,17,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,80.4,1,2,,,,2,FALSE,TRUE,2,2,71,2,0,2,8|2,,0,2,35,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,11,10/09/2019
,84.6,1,2,,,,2,FALSE,FALSE,1|2|4|9,2,104,3,0,2,9,,0,2,8,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,29,FALSE,FALSE,FALSE,,
,58.4,2,4,,,,0,FALSE,FALSE,1|2,3,69,3,0,2,9|2|4,,0,,13,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,2,TRUE,TRUE,FALSE,,
,81.9,1,4,,,,1,FALSE,FALSE,1|2|4,2,103,3,0,2,8|2|3|4,,0,,26,3,2,TRUE,1,0,TRUE,FALSE,5,,FALSE,1,3,FALSE,FALSE,FALSE,,
,64.8,1,4,,,,1,FALSE,FALSE,2|4,1,100,3,0,2,9,,0,2,181,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,72.4,1,4,,,,5,FALSE,FALSE,1|2|6,1,113,3,0,2,9|2|5|6,,0,,21,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,35,02/10/2019
,86.8,1,4,,,,1,FALSE,FALSE,0,3,65,3,0,2,3,,0,,16,3|11,2,FALSE,1,0,FALSE,FALSE,0,,,1,8,FALSE,FALSE,FALSE,,
,70.8,1,5,,,,2,FALSE,FALSE,1|2|4,3,78,3,0,2,8|2|3|4|5,,0,1,68,3,2,TRUE,2,3,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,417,16/10/2020
,79.2,2,2,,,,1,FALSE,FALSE,2|6,2,98,4,0,2,8|3|5|6,,0,1,4,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,45,09/10/2019
,76.9,2,4,,,,0,FALSE,FALSE,0,3,85,3,0,2,8|2|3|6,,0,,28,3,2,FALSE,2,,FALSE,FALSE,1,,FALSE,1,5,FALSE,FALSE,FALSE,,
,72.8,1,3,,,,1,FALSE,FALSE,2|4,1,55,2,0,2,9|2,,0,2,92,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,TRUE,FALSE,FALSE,52,15/10/2019
,80,1,4,,,,1,FALSE,FALSE,1|2,1,79,3,0,2,8|2,,0,1,18,11,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,77.7,2,2,,,,2,FALSE,FALSE,1|2|3|6|9,2,95,3,0,2,9|2|4|5|6,,0,1,5,3|11,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,47,14/10/2019
,74.7,1,1,,,,1,FALSE,FALSE,6,1,128,3,0,2,9|2|3|5|6,,0,2,,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,39,03/10/2019
,76.8,2,4,,,,1,FALSE,FALSE,1|3,2,71,3,0,2,8|2|5,,0,,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,FALSE,75,07/11/2019
,72.3,2,4,,,,1,FALSE,FALSE,3,1,66,3,0,2,9|2|5|6,,0,1,21,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,156,27/01/2020
,80,2,4,,,,3,FALSE,FALSE,2,1,,4,0,2,8|2,,0,,9,11,2,TRUE,1,0,FALSE,FALSE,0,,,1,3,FALSE,FALSE,FALSE,,
,83.8,1,4,,,,1,FALSE,FALSE,1|2|4|5|6,2,160,3,0,2,8|2|5|6,,0,1,6,3,2,TRUE,2,1,TRUE,TRUE,5,,FALSE,1,22,FALSE,FALSE,FALSE,48,28/10/2019
,65.3,1,4,,,,3,FALSE,FALSE,2,2,108,3,0,2,8|2,,0,2,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,42,03/10/2019
,63.4,2,4,,,,3,FALSE,FALSE,4,2,99,3,0,2,8|2|6|7,,0,2,11,3,1,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,152,20/01/2020
,81.4,2,2,,,,3,FALSE,FALSE,2|4,3,110,3,1,2,2|4|5|6|7,,1,2,11,3|11,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,61.3,2,2,,,,5,FALSE,FALSE,2,1,61,3,0,2,9|2|5|6,,0,2,8,3|11,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,6,FALSE,TRUE,FALSE,,
,72.1,2,4,,,,2,FALSE,FALSE,1|2,1,59,3,0,2,9|2|4|5|6,,0,2,20,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,76.9,1,4,,,,1,FALSE,FALSE,2,2,111,3,0,2,9|5|6,,0,2,11,11|12,2,FALSE,1,0,FALSE,FALSE,17,,FALSE,1,28,TRUE,FALSE,FALSE,103,17/12/2019
,78.8,2,4,,,,1,FALSE,FALSE,2,2,73,2,0,2,8|4,,1,2,18,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,113,10/12/2019
,67,2,4,,,,2,FALSE,FALSE,0,1,69,3,0,2,8|2|6,,0,2,12,7|11,2,FALSE,1,0,TRUE,FALSE,5,,FALSE,1,1,FALSE,FALSE,FALSE,,
,63.8,1,2,,,,2,FALSE,FALSE,2,2,67,3,0,2,8|2,,0,1,5,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,47,02/10/2019
,65.8,2,2,,,,1,FALSE,FALSE,2|3,2,79,4,0,2,8|2|5|6,,0,2,23,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,32,17/09/2019
,83.5,2,4,,,,1,FALSE,FALSE,2,2,68,2,0,2,9|2|5|6,,0,2,11,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,52,07/10/2019
,72.5,1,4,,,,1,FALSE,FALSE,1|2|4,2,93,3,0,2,8|2|3|4|5|6,,0,2,7,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,47,03/10/2019
,56.6,2,2,,,,1,FALSE,FALSE,0,1,90,3,0,2,9|2,,0,2,17,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,41,26/09/2019
,80.2,1,4,,,,1,FALSE,FALSE,2,3,79,3,0,2,9|2|5|6,,0,2,7,11|12,2,TRUE,1,3,FALSE,TRUE,17,,FALSE,1,6,FALSE,FALSE,FALSE,,
,58.3,2,4,,,,2,FALSE,FALSE,2|4,1,57,3,0,2,8|2|3|5|6,,0,1,4,7|11,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,,
,79.8,1,4,,,,1,FALSE,FALSE,2|4,2,131,3,0,2,2|3,,0,,9,3,2,TRUE,4,1,FALSE,FALSE,2,,FALSE,1,30,FALSE,FALSE,FALSE,37,10/10/2019
,59.1,1,4,,,,1,FALSE,FALSE,2,1,71,3,0,2,8|2|5|6,,0,,8,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,24,04/09/2019
,78.9,2,4,,,,1,FALSE,FALSE,2|8,2,89,4,0,2,8|2|4|5|6,,0,2,8,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,30,10/09/2019
,84.8,1,4,,,,1,FALSE,FALSE,2|4,2,102,3,0,2,9|2|4|5|6,,0,2,4,7|3,1,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,33,FALSE,FALSE,FALSE,21,30/09/2019
,62.9,1,2,,,,1,FALSE,FALSE,1|2,3,122,3,0,2,9,,0,2,8,7,2,FALSE,2,2,FALSE,FALSE,17,,FALSE,1,3,FALSE,FALSE,FALSE,227,24/03/2020
,56.5,1,2,,,,1,FALSE,FALSE,9,1,76,4,0,2,8,,0,,9,11,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,104,20/11/2019
,65.1,2,1,,,,5,FALSE,FALSE,1|2|4,2,86,3,0,2,8|2|4|5|6,,0,2,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,41,20/09/2019
,84.6,1,4,,,,1,FALSE,FALSE,1|2|3|4,3,102,3,1,2,8|2,,0,2,13,3|11,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,15,FALSE,FALSE,FALSE,59,07/10/2019
,77.1,1,4,,,,1,FALSE,FALSE,2,3,122,3,0,2,8|2,,0,,14,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,30,FALSE,FALSE,FALSE,,
,77.5,2,4,,,,1,FALSE,FALSE,2|4,1,93,3,0,2,8|2|3|4,,0,,9,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,72.9,2,4,,,,1,FALSE,FALSE,2,2,74,3,0,2,9|2|5|6,,0,,35,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,FALSE,82,29/10/2019
,87.8,1,4,,,,1,FALSE,FALSE,1|2|3|6,2,188,4,0,2,9|2|3|5|6,,0,2,11,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,39,16/09/2019
,67.5,1,4,,,,1,FALSE,FALSE,2|4,2,58,3,0,2,8|2|3|4|5|6,,0,1,16,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,33,09/09/2019
