Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,,,,0,FALSE,FALSE,1|2,1,94,4,0,4,2|3|4,,0,,10,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,7,12/04/2018
,79.2,2,2,,,,,FALSE,,1|2|3,3,42,3,0,4,1|2|4|5|6,,0,,15,3,2,TRUE,1,,TRUE,FALSE,5,,FALSE,1,5,FALSE,FALSE,,21,03/04/2018
,68.2,2,4,,,,,FALSE,,2|4,1,87,3,0,4,1|2|3|4|5|6,,0,,19,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,41,FALSE,FALSE,,,
,76.7,1,2,,,,,FALSE,,2|4|5,2,71,3,0,4,1|2|3|4|5|6,,0,,9,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,,32,10/04/2018
,72.5,2,4,,,,,FALSE,,1,3,81,3,0,4,1|2|5|6,,0,,37,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,65,16/04/2018
,85.9,1,4,,,,,FALSE,,0,2,94,4,0,4,1|2|3,,0,,42,1,1,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,48,TRUE,FALSE,,47,04/04/2018
,81.4,2,1,,,,,FALSE,,2,3,58,3,0,4,1|2|5|6,,0,,,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,TRUE,FALSE,,58,22/03/2018
,70.5,1,4,,,,1,FALSE,FALSE,1|2,3,80,4,0,4,2|3|5|6,,0,2,5,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,18,FALSE,FALSE,FALSE,89,27/04/2018
,87,1,4,,,,,FALSE,,2,3,86,4,0,4,1|2|6,,1,,16,3,1,TRUE,2,,FALSE,FALSE,0,,FALSE,1,38,,FALSE,,,
,65.2,2,4,,,,,FALSE,,1|2|3|4,1,68,4,0,4,1|2|3|5|6,,0,,12,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,49.8,1,4,,,,2,FALSE,FALSE,2,2,66,3,0,4,1|2|5|6,,0,,40,1,1,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,72,23/03/2018
,44.7,1,4,,,,,FALSE,,1|2,2,45,3,0,4,1|5|6,,0,,69,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,41,15/02/2018
